Unnamed: 0,DOI,Author,Title,Year,Journal,source,PubMedID,Group,Title_lower,Journal_lower,Count,Label_ID,Label,Malik_Label_Validation,Jodi_Label_Validation,Remark,Retraction_Phrase,Inference Possibility,Inference Number,Retraction_Flag,Retraction_Flag_Pos
74,10.1007/s10586-021-03373-6,"[{'given': 'Mengyao', 'family': 'Zhang', 'sequence': 'first', 'affiliation': []}, {'given': 'Liwei', 'family': 'Lin', 'sequence': 'additional', 'affiliation': []}, {'given': 'Zhuyun', 'family': 'Chen', 'sequence': 'additional', 'affiliation': []}]",RETRACTED ARTICLE: Lightweight security scheme for data management in E-commerce platform using dynamic data management using blockchain model,2021,Cluster Computing,Crossref,,likely_retracted,retracted article: lightweight security scheme for data management in e-commerce platform using dynamic data management using blockchain model,cluster computing,2,RP52,both_rp_rn,,,,retracted article,RP52-N,0,retracted article:,begin
75,10.1007/s10586-017-0942-0,"[{'given': 'Chang-Woo', 'family': 'Song', 'sequence': 'first', 'affiliation': []}, {'given': 'Hoill', 'family': 'Jung', 'sequence': 'additional', 'affiliation': []}, {'given': 'Kyungyong', 'family': 'Chung', 'sequence': 'additional', 'affiliation': []}]",RETRACTED ARTICLE: Development of a medical big-data mining process using topic modeling,2017,Cluster Computing,Crossref,,likely_retracted,retracted article: development of a medical big-data mining process using topic modeling,cluster computing,2,RP52,retracted paper(rp),,,,retracted article,RP52-N,0,retracted article:,begin
86,10.1016/j.lfs.2016.05.038,"[{'given': 'Neetu', 'family': 'Kalra', 'sequence': 'first', 'affiliation': []}, {'given': 'Preeti', 'family': 'Roy', 'sequence': 'additional', 'affiliation': []}, {'given': 'Sahdeo', 'family': 'Prasad', 'sequence': 'additional', 'affiliation': []}, {'given': 'Yogeshwer', 'family': 'Shukla', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: Erratum to ‚ÄúResveratrol induces apoptosis involving mitochondrial pathways in mouse skin tumorigenesis‚Äù [Life Sciences (2008) 348‚Äì358],2016,Life Sciences,Crossref,,likely_retracted,retracted: erratum to ‚Äúresveratrol induces apoptosis involving mitochondrial pathways in mouse skin tumorigenesis‚Äù [life sciences (2008) 348‚Äì358],life sciences,3,RP179,retraction notice(rn),,,,retracted:,RP179-N,0,retracted: erratum to,begin
87,10.1016/j.lfs.2020.117519,Ying Pu;Juan Xiang;Jiani Zhang,RETRACTED: KDM5B-mediated microRNA-448 up-regulation restrains papillary thyroid cancer cell progression and slows down tumor growth via TGIF1 repression,2020,Life Sciences,PubMed; Crossref,32147429.0,likely_retracted,retracted: kdm5b-mediated microrna-448 up-regulation restrains papillary thyroid cancer cell progression and slows down tumor growth via tgif1 repression,life sciences,3,RP179,retracted paper(rp),,,,retracted:,RP179-N,0,retracted:,begin
108,10.1016/j.procs.2017.05.073,"[{'given': 'Nikita', 'family': 'Bukhanov', 'sequence': 'first', 'affiliation': []}, {'given': 'Marina', 'family': 'Balakhontceva', 'sequence': 'additional', 'affiliation': []}, {'given': 'Alexey', 'family': 'Krikunov', 'sequence': 'additional', 'affiliation': []}, {'given': 'Arthur', 'family': 'Sabirov', 'sequence': 'additional', 'affiliation': []}, {'given': 'Anna', 'family': 'Semakova', 'sequence': 'additional', 'affiliation': []}, {'given': 'Nadezhda', 'family': 'Zvartau', 'sequence': 'additional', 'affiliation': []}, {'given': 'Aleksandra', 'family': 'Konradi', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: Clustering of comorbidities based on conditional probabilities of diseases in hypertensive patients,2017,Procedia Computer Science,Crossref,,likely_retracted,retracted: clustering of comorbidities based on conditional probabilities of diseases in hypertensive patients,procedia computer science,2,RP228,retraction notice(rn),,,,retracted:,RP228-N,0,retracted:,begin
109,10.1016/j.procs.2015.08.298,"[{'given': 'Peter', 'family': 'Luong', 'sequence': 'first', 'affiliation': []}, {'given': 'Josip', 'family': 'Vrbanek Jr', 'sequence': 'additional', 'affiliation': []}, {'given': 'Wilson', 'family': 'Wang', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: An adaptive predictor for system property forecasting,2015,Procedia Computer Science,Crossref,,likely_retracted,retracted: an adaptive predictor for system property forecasting,procedia computer science,2,RP228,retracted paper(rp),,,,retracted:,RP228-N,0,retracted:,begin
282,10.1016/j.matlet.2020.128178,"[{'given': 'Bowen', 'family': 'Gao', 'sequence': 'first', 'affiliation': []}, {'given': 'Jing', 'family': 'Meng', 'sequence': 'additional', 'affiliation': []}, {'given': 'Jie', 'family': 'Lu', 'sequence': 'additional', 'affiliation': []}, {'given': 'Rengao', 'family': 'Zhao', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: Corrigendum to ‚ÄúCH3NH3PbI3 perovskite solar cells with efficiency over 22% fabricated by green antisolvent method‚Äù [Mater. Lett. 274 (2020) 127995‚Äì128001],2020,Materials Letters,Crossref,,likely_retracted,retracted: corrigendum to ‚Äúch3nh3pbi3 perovskite solar cells with efficiency over 22% fabricated by green antisolvent method‚Äù [mater. lett. 274 (2020) 127995‚Äì128001],materials letters,2,RP184,retraction notice(rn),,,,corrigendum to,RP184-N,0,retracted: corrigendum to,begin
283,10.1016/j.matlet.2020.127995,"[{'given': 'Bowen', 'family': 'Gao', 'sequence': 'first', 'affiliation': []}, {'given': 'Jing', 'family': 'Meng', 'sequence': 'additional', 'affiliation': []}, {'given': 'Jie', 'family': 'Lu', 'sequence': 'additional', 'affiliation': []}, {'given': 'Rengao', 'family': 'Zhao', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: CH3NH3PbI3 perovskite solar cells with efficiency over 22% fabricated by green antisolvent method,2020,Materials Letters,Crossref,,likely_retracted,retracted: ch3nh3pbi3 perovskite solar cells with efficiency over 22% fabricated by green antisolvent method,materials letters,2,RP184,retracted paper(rp),,,,retracted:,RP184-N,0,retracted:,begin
326,10.1016/j.purol.2018.07.283,"[{'given': 'M.', 'family': 'Roupr√™t', 'sequence': 'first', 'affiliation': []}, {'given': 'Y.', 'family': 'Neuzillet', 'sequence': 'additional', 'affiliation': []}, {'given': 'G.', 'family': 'Pignot', 'sequence': 'additional', 'affiliation': []}, {'given': 'E.', 'family': 'Comp√©rat', 'sequence': 'additional', 'affiliation': []}, {'given': 'F.', 'family': 'Audenet', 'sequence': 'additional', 'affiliation': []}, {'given': 'N.', 'family': 'Hou√©d√©', 'sequence': 'additional', 'affiliation': []}, {'given': 'S.', 'family': 'Larr√©', 'sequence': 'additional', 'affiliation': []}, {'given': 'A.', 'family': 'Masson-Lecomte', 'sequence': 'additional', 'affiliation': []}, {'given': 'P.', 'family': 'Colin', 'sequence': 'additional', 'affiliation': []}, {'given': 'S.', 'family': 'Brunelle', 'sequence': 'additional', 'affiliation': []}, {'given': 'E.', 'family': 'Xylinas', 'sequence': 'additional', 'affiliation': []}, {'given': 'M.', 'family': 'Roumigui√©', 'sequence': 'additional', 'affiliation': []}, {'given': 'A.', 'family': 'M√©jean', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: Recommandations fran√ßaises du Comit√© de Canc√©rologie de l‚ÄôAFU ‚Äî Actualisation 2018‚Äî2020¬†: tumeurs de la vessie,2018,Progr√®s en Urologie,Crossref,,likely_retracted,retracted: recommandations fran√ßaises du comit√© de canc√©rologie de l‚Äôafu ‚Äî actualisation 2018‚Äî2020¬†: tumeurs de la vessie,progr√®s en urologie,2,RP234,both_rp_rn,,,,retracted:,RP234-N,0,retracted:,begin
327,10.1016/j.purol.2018.10.003,"[{'given': 'A.', 'family': 'M√©jean', 'sequence': 'first', 'affiliation': []}, {'given': 'K.', 'family': 'Bensalah', 'sequence': 'additional', 'affiliation': []}, {'given': 'T.', 'family': 'Murez', 'sequence': 'additional', 'affiliation': []}, {'given': 'M.', 'family': 'Roupr√™t', 'sequence': 'additional', 'affiliation': []}, {'given': 'F.', 'family': 'Rozet', 'sequence': 'additional', 'affiliation': []}]",RETRACTED: Actualisation 2018‚Äì2020 des recommandations fran√ßaises du Comit√© de canc√©rologie de l‚ÄôAFU ‚Äì √âditorial,2018,Progr√®s en Urologie,Crossref,,likely_retracted,retracted: actualisation 2018‚Äì2020 des recommandations fran√ßaises du comit√© de canc√©rologie de l‚Äôafu ‚Äì √©ditorial,progr√®s en urologie,2,RP234,retracted paper(rp),,,,retracted:,RP234-N,0,retracted:,begin
